x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s,ROI,SequenceID,EnterExitFlag
0.330802,0.692117,0.0,2025-01-23 15:20:37.732,6233.0,122.0,-10.15188,11.527019999999998,0.3710000000000004,-0.2124500000000004,0.427523101714984,3.0036751876931276,36.79747336769324,INST_n2q3_1,6,
0.331543,0.689422,0.0,2025-01-23 15:20:37.855,6356.0,123.0,-10.107420000000001,11.365319999999999,0.0518699999999991,-0.1886499999999991,0.1956510143086398,1.3634217024992354,36.79747336769324,INST_n2q3_1,6,Exit
0.142405,0.4368789999999999,0.0,2025-01-23 15:20:38.099,6600.0,244.0,-21.4557,-3.7872600000000056,-13.239659999999995,-17.678009999999997,22.086209146788857,77.58621480136604,36.79747336769324,KW_n2q3_1,7,Enter
0.062565,0.496233,0.0,2025-01-23 15:20:38.221,6722.0,122.0,-26.246100000000002,-0.22602000000000122,-5.588800000000003,4.1547800000000015,6.963970296346765,48.927191777611945,36.79747336769324,KW_n2q3_1,7,
0.049042,0.4911849999999998,0.0,2025-01-23 15:20:38.343,6844.0,122.0,-27.057479999999998,-0.528900000000011,-0.9466099999999996,-0.3533600000000039,1.0104126789089705,7.0989181187983785,36.79747336769324,KW_n2q3_1,7,
0.039415,0.4909079999999999,0.0,2025-01-23 15:20:38.466,6967.0,123.0,-27.6351,-0.545520000000006,-0.6738900000000001,-0.0193899999999977,0.6741688988673388,4.698041107089493,36.79747336769324,KW_n2q3_1,7,
0.041779,0.4956879999999999,0.0,2025-01-23 15:20:38.588,7089.0,122.0,-27.49326,-0.2587200000000056,0.1654799999999987,0.3346,0.3732837933797817,2.6226027637923917,36.79747336769324,KW_n2q3_1,7,
0.103055,0.517828,0.0,2025-01-23 15:20:38.710,7211.0,122.0,-23.8167,1.0696799999999973,4.289320000000004,1.549800000000003,4.560717717903624,32.04251324054065,36.79747336769324,KW_n2q3_1,7,
0.1122499999999999,0.548807,0.0,2025-01-23 15:20:38.833,7334.0,123.0,-23.265000000000004,2.9284200000000027,0.6436499999999974,2.1685299999999987,2.2620361808335407,15.763318333334826,36.79747336769324,KW_n2q3_1,7,
0.117312,0.549955,0.0,2025-01-23 15:20:38.955,7456.0,122.0,-22.961280000000002,2.9972999999999983,0.3543400000000005,0.0803599999999953,0.3633380866355736,2.552726603997016,36.79747336769324,KW_n2q3_1,7,Exit
0.269167,0.544401,0.0,2025-01-23 15:20:39.077,7578.0,122.0,-13.84998,2.6640600000000014,10.62985,-0.388779999999997,10.636957314519035,74.73272117929065,36.79747336769324,KW_n2q3_2,8,Enter
0.275452,0.540544,0.0,2025-01-23 15:20:39.199,7700.0,122.0,-13.472880000000002,2.4326400000000015,0.4399499999999996,-0.2699899999999999,0.5161885339679676,3.6266173346695543,36.79747336769324,KW_n2q3_2,8,
0.275657,0.539451,0.0,2025-01-23 15:20:39.321,7822.0,122.0,-13.46058,2.367060000000001,0.0143500000000003,-0.0765100000000007,0.0778440916190825,0.5469139926399265,36.79747336769324,KW_n2q3_2,8,Exit
0.419954,0.540748,0.0,2025-01-23 15:20:39.443,7944.0,122.0,-4.80276,2.4448800000000004,10.10079,0.0907900000000001,10.101198020442922,70.96860435908377,36.79747336769324,KW_n2q3_3,9,Enter
0.444849,0.539231,0.0,2025-01-23 15:20:39.566,8067.0,123.0,-3.3090600000000006,2.353860000000001,1.7426499999999998,-0.1061899999999997,1.7458823954092668,12.166427842573285,36.79747336769324,KW_n2q3_3,9,Exit
0.519166,0.5223729999999999,0.0,2025-01-23 15:20:39.688,8189.0,122.0,1.149960000000001,1.342379999999992,5.202190000000002,-1.1800600000000028,5.334353044156341,37.477890239974315,36.79747336769324,BG_n2q3,0,
0.465006,0.540261,0.0,2025-01-23 15:20:39.810,8311.0,122.0,-2.0996400000000017,2.4156599999999995,-3.791200000000003,1.2521600000000015,3.9926309753845306,28.051271489821072,36.79747336769324,KW_n2q3_3,10,Enter
0.461585,0.557589,0.0,2025-01-23 15:20:39.933,8434.0,123.0,-2.3048999999999986,3.45534,-0.2394700000000005,1.2129600000000007,1.2363728573937565,8.615838727482618,36.79747336769324,KW_n2q3_3,10,
0.4820489999999999,0.557272,0.0,2025-01-23 15:20:40.055,8556.0,122.0,-1.0770600000000063,3.4363199999999994,1.4324799999999986,-0.0221900000000019,1.4326518580939325,10.06546972899713,36.79747336769324,KW_n2q3_3,10,
0.476089,0.552434,0.0,2025-01-23 15:20:40.177,8678.0,122.0,-1.434660000000001,3.146039999999999,-0.4171999999999976,-0.3386599999999991,0.5373513148769595,3.7753019780582497,36.79747336769324,KW_n2q3_3,10,
0.4879599999999999,0.549455,0.0,2025-01-23 15:20:40.299,8800.0,122.0,-0.7224000000000064,2.9673000000000016,0.8309699999999975,-0.2085299999999978,0.8567356078744451,6.0192197274550905,36.79747336769324,KW_n2q3_3,10,
0.4899549999999999,0.553094,0.0,2025-01-23 15:20:40.421,8922.0,122.0,-0.6027000000000049,3.1856399999999985,0.1396499999999978,0.2547299999999968,0.290498701201912,2.040974481512273,36.79747336769324,KW_n2q3_3,10,
0.479811,0.551091,0.0,2025-01-23 15:20:40.543,9044.0,122.0,-1.2113400000000007,3.06546,-0.7100799999999952,-0.1402099999999979,0.7237903360089802,5.085178004746934,36.79747336769324,KW_n2q3_3,10,
